provcd_born,cid,countyid,age,urban,gender,qb1,fincome,fage,mage,divorce,han,fbirthy,mbirthy,feduy,meduy,remarriage,younger_brother,confidence,anxiety,desperation,onechild,ifppr,qa1y_best,qa402,qc1,qc8,qe1,qk601,qk7,qk801,qk802,qk803,qk804,qm403,qm503,qm505,qm507,qm509,qm510,qp8,qp801,qq2,qq201,qq3,qq301,qq601,qq602,qq606,eduy,seduy,qz201,qz208,qz211,eduy2010,qa302,urban_3,urban_14,qa5code
11,11820,45,31,1,1,0,90000,60,59,0,1,1950,1951,9,9,0,0,4,5,5,1,111,1979,3,6,8,1,0,0,4,3,4,4,3,4,2,1,5,4,7,1,0,-8,0,-8,5,5,5,15,NA,6,5,6,16,3,1,1,1
11,11830,45,34,1,1,1,25000,65,63,0,1,1945,1947,12,12,0,0,4,1,2,0,111,1976,3,5,6,1,25000,3500,4,3,4,4,2,4,4,4,4,4,0,-8,0,-8,0,-8,1,1,5,13.5,NA,4,5,6,15,3,1,1,1
11,11840,45,30,1,1,0,65000,58,57,0,1,1952,1953,9,9,0,0,5,5,5,1,111,1980,3,6,6,2,30000,2500,5,5,5,5,3,5,5,5,3,5,7,60,1,18,0,-8,5,5,5,13.5,13.5,6,6,6,16,3,1,1,1
11,11840,45,28,1,1,0,140000,57,57,0,1,1953,1953,9,7.5,0,0,4,5,5,1,111,1982,3,6,6,1,40000,3500,5,5,5,5,3,5,5,3,3,3,3,1,1,20,0,-8,5,5,5,15,NA,6,5,5,16,3,1,1,1
11,11830,45,27,1,1,0,52000,56,52,0,1,1954,1958,9,0,0,0,4,5,4,1,111,1983,3,5,6,1,24000,2000,4,4,4,4,2,4,3,5,5,5,0,-8,1,24,0,-8,4,4,5,15,NA,6,6,6,15,3,1,1,1
11,11830,45,22,1,0,0,44023.65023,51,45,0,1,1959,1965,12,12,0,0,5,5,5,1,111,1988,3,6,6,2,13000,0,4,5,5,4,2,5,3,3,5,5,0,-8,1,-1,0,-8,5,5,5,14,14,7,7,7,16,3,1,1,1
11,11820,45,29,1,0,0,57000,57,56,0,1,1953,1954,9,9,0,0,5,5,5,1,111,1981,3,4,-1,2,8000,1900,5,5,4,5,5,4,5,1,1,5,0,-8,1,17,0,-8,4,5,5,12,12,6,5,6,12,3,1,1,1
11,11840,45,30,1,1,0,140000,57,56,0,1,1953,1954,9,9,0,0,5,5,5,1,111,1980,3,5,5,2,43200,3600,5,5,5,5,4,4,4,2,4,4,7,2,0,-8,0,-8,5,5,5,15,15,6,6,6,15,3,1,1,1
11,11820,45,24,1,1,0,44023.65023,51,50,0,1,1959,1960,10.5,12,0,0,4,4,5,1,111,1986,3,4,5,1,18000,1500,4,4,4,4,3,4,4,3,4,5,2,1,1,15,1,15,4,4,4,12,NA,6,5,6,12,3,1,1,1
11,11840,45,23,1,1,0,71600,50,48,0,1,1960,1962,12,12,0,0,4,5,5,1,111,1987,3,5,6,1,40000,3000,5,5,5,5,3,5,4,1,1,5,3,1,1,18,1,15,4,4,5,15,NA,6,5,5,15,3,1,1,1
11,11830,45,23,1,1,0,44023.65023,47,47,0,1,1963,1963,12,12,0,0,5,5,5,1,111,1987,3,6,7,2,0,0,4,5,5,5,1,4,4,1,5,5,7,1,1,12,0,-8,4,4,5,14,14,6,6,6,16,3,1,1,1
12,13200,79,32,0,1,1,117900,58,58,0,1,1952,1952,0,0,0,0,5,5,4,0,101,1978,1,4,5,2,1.00E+05,0,4,5,5,4,3,4,3,3,5,5,0,-8,1,20,0,-8,4,5,5,12,6,6,6,6,15,1,0,0,1
12,13180,79,30,1,0,0,50000,57,57,0,1,1953,1953,12,6,0,0,3,4,5,1,101,1980,3,5,6,2,30000,2200,3,4,2,3,4,5,3,4,4,5,0,-8,0,-8,0,-8,4,4,5,15,12,6,6,7,15,3,1,1,1
12,13180,79,31,1,1,3,50000,65,66,0,1,1945,1944,12,0,0,0,4,5,5,0,101,1979,1,4,5,2,30000,2200,4,5,3,4,4,4,4,4,5,4,2,1,0,-8,0,-8,4,5,5,12,15,7,6,5,12,1,0,0,1
12,13200,79,20,0,1,1,180700,47,46,0,1,1963,1964,3,3,0,0,5,5,5,0,101,1990,1,2,3,1,15000,0,5,5,5,5,5,5,5,5,5,5,0,-8,1,14,0,-8,3,4,5,6,NA,7,7,6,6,1,0,0,1
12,11820,45,24,1,0,0,80000,57,54,0,1,1953,1956,15,15,0,0,3,5,5,1,101,1986,3,6,6,1,5000,3000,5,3,3,4,3,4,4,3,3,4,0,-8,0,-8,0,-8,5,4,5,16,NA,6,6,6,16,3,1,1,1
12,13170,79,29,1,0,1,20910,60,59,0,1,1950,1951,6,6,0,0,4,5,4,0,101,1981,1,3,4,2,0,0,4,5,4,5,5,5,4,5,3,5,2,60,0,-8,0,-8,4,3,4,9,9,6,6,6,9,1,0,0,1
12,13170,79,20,1,1,2,16000,56,57,0,1,1954,1953,6,0,0,0,3,5,5,0,101,1990,1,4,5,1,-8,-8,-8,-8,-8,-8,5,4,3,4,4,4,3,60,0,-8,0,-8,4,5,5,13.5,NA,6,6,6,12,1,0,0,1
12,13200,79,21,0,1,1,80500,46,46,0,1,1964,1964,9,9,0,0,5,5,5,0,101,1989,1,4,4,2,24500,0,4,4,5,3,2,5,4,2,5,5,0,-8,1,13,0,-8,5,5,5,12,12,7,6,7,12,1,0,0,1
12,13170,79,30,1,1,0,61500,56,56,0,1,1954,1954,6,6,0,0,1,5,5,1,101,1980,3,5,6,2,31600,2400,3,3,3,3,2,5,5,1,1,3,3,120,1,18,1,18,4,5,5,15,13.5,7,7,7,15,3,1,1,1
12,13200,79,22,0,1,1,28300,54,52,0,1,1956,1958,10.5,0,0,0,5,4,4,0,101,1988,1,4,6,1,-8,-8,-8,-8,-8,-8,4,4,3,1,4,3,4,120,0,-8,0,-8,5,4,5,14,NA,7,7,7,12,1,0,0,1
12,13170,79,34,1,1,1,20910,62,60,0,1,1948,1950,9,0,0,0,5,5,5,0,101,1976,3,3,4,2,14000,1400,5,5,5,4,5,3,4,4,5,5,4,60,1,18,0,-8,5,4,5,9,9,6,6,6,9,3,1,1,1
12,13200,79,25,0,0,1,25001,50,48,0,1,1960,1962,12,0,0,0,5,5,5,0,101,1985,1,1,-8,2,0,0,5,5,5,5,5,5,5,5,5,5,0,-8,0,-8,0,-8,5,5,5,0,9,6,4,7,0,1,0,0,1
12,13200,79,32,0,1,1,20000,56,56,0,1,1954,1954,12,12,0,0,5,5,5,0,101,1978,1,4,4,2,20000,0,3,5,5,4,3,3,2,3,5,5,0,-8,1,17,1,17,4,5,5,12,0,7,6,7,12,1,0,0,1
12,13200,79,26,0,1,2,25001,57,59,0,1,1953,1951,0,0,0,0,5,5,5,0,101,1984,1,3,3,2,20000,2000,4,5,5,5,5,4,5,4,4,5,0,-8,1,18,0,-8,5,5,5,9,0,7,4,7,6,1,0,0,1
12,13200,79,23,0,1,1,44023.65023,60,52,0,1,1950,1958,0,0,0,0,5,5,5,0,101,1987,1,3,4,1,16000,3600,5,5,5,5,5,5,5,5,5,5,0,-8,1,15,1,15,5,5,5,9,NA,6,6,6,9,1,0,0,1
12,13200,79,30,0,1,0,60901,57,58,0,1,1953,1952,3,6,0,0,5,5,5,1,101,1980,1,4,4,2,20000,800,4,5,5,4,5,5,5,5,5,5,0,-8,1,17,0,-8,4,5,5,12,9,7,6,7,12,1,0,0,1
12,13170,79,21,1,0,1,34000,53,52,0,1,1957,1958,9,9,0,0,4,4,4,0,101,1989,3,4,6,1,-8,-8,-8,-8,-8,-8,3,4,3,5,4,3,3,180,0,-8,0,-8,4,3,4,13.5,NA,7,7,7,12,3,1,1,1
12,13200,79,22,0,1,0,44560,44,45,0,1,1966,1965,0,9,0,0,5,5,5,1,101,1988,1,5,6,1,0,2000,5,5,5,5,5,5,5,1,5,5,0,-8,0,-8,0,-8,5,5,5,15,NA,6,6,6,15,1,0,0,1
12,13190,79,24,1,1,0,35000,52,51,0,1,1958,1959,9,9,0,0,4,5,4,1,101,1986,3,4,5,1,12000,1200,4,4,3,4,4,5,4,3,4,4,0,-8,0,-8,0,-8,5,5,5,12,NA,7,7,7,12,3,1,1,1
12,13200,79,20,0,0,1,80500,47,47,0,1,1963,1963,9,9,0,0,4,4,5,0,101,1990,1,4,4,2,24000,0,3,2,3,3,5,5,5,5,5,5,0,-8,0,-8,0,-8,4,4,5,12,12,7,5,7,12,1,0,0,1
12,13170,79,29,1,0,0,61500,58,55,0,1,1952,1955,15,12,0,0,3,4,5,1,101,1981,3,5,6,2,28000,2600,3,3,3,4,3,5,4,4,1,5,2,120,0,-8,0,-8,3,2,4,13.5,15,7,7,7,15,3,1,1,1
12,13170,79,22,1,0,0,105000,46,45,0,1,1964,1965,13.5,12,0,0,4,5,5,1,101,1988,3,4,6,1,-8,-8,-8,-8,-8,-8,4,5,4,5,4,5,0,-8,0,-8,0,-8,4,4,5,14,NA,7,7,7,12,3,1,1,1
12,13200,79,23,0,0,1,20500,45,47,0,1,1965,1963,12,9,0,1,3,5,4,0,101,1987,1,6,6,1,0,0,4,3,3,4,3,4,3,1,1,3,0,-8,0,-8,0,-8,1,2,3,16,NA,7,7,7,16,1,0,0,1
12,13200,79,28,0,0,3,33240,61,60,0,1,1949,1950,9,6,0,0,5,5,5,0,101,1982,1,3,5,2,0,1000,5,5,4,4,4,5,5,4,2,5,2,30,0,-8,0,-8,4,5,4,9,9,7,7,7,9,1,0,0,1
12,22310,140,31,0,1,2,73400,63,57,0,1,1947,1953,3,0,0,0,2,4,5,0,101,1979,1,4,4,2,33000,3000,3,2,3,4,2,2,3,3,3,3,0,-8,1,20,0,-8,2,4,4,12,9,7,7,7,12,1,0,0,1
12,13190,79,22,1,1,0,30200,45,45,0,1,1965,1965,9,9,0,0,5,3,4,1,101,1988,3,5,4,1,7500,0,4,3,5,5,3,4,5,4,5,5,2,1,0,-8,1,17,3,3,3,15,NA,7,7,7,15,3,1,1,1
12,13170,79,30,1,0,1,70000,58,58,0,1,1952,1952,0,0,0,0,3,5,4,0,101,1980,1,4,5,4,50000,4500,3,3,2,3,3,4,3,1,1,3,0,-8,0,-8,0,-8,4,4,5,13.5,NA,7,7,7,12,1,0,0,1
12,13170,79,30,1,1,0,32000,59,59,0,1,1951,1951,6,9,0,0,5,5,4,1,101,1980,3,4,6,2,30000,3200,4,3,5,5,2,5,3,1,1,5,2,5,1,21,0,-8,4,2,4,13.5,12,7,7,7,12,3,1,1,1
12,11920,47,27,0,0,2,5000,59,47,0,1,1951,1963,0,0,0,0,3,5,5,0,101,1983,1,1,-8,2,0,0,4,4,4,4,3,3,3,3,3,3,0,-8,0,-8,0,-8,5,5,5,0,0,6,6,6,0,1,0,0,1
12,13200,79,23,0,1,1,33040,54,54,0,1,1956,1956,6,3,0,0,5,1,4,0,101,1987,1,5,6,1,6000,0,4,3,5,4,2,5,5,5,5,5,0,-8,1,22,0,-8,1,1,4,15,NA,7,7,7,15,1,0,0,1
12,13200,79,31,0,1,3,34000,65,61,0,1,1945,1949,6,0,0,0,3,2,3,0,101,1979,1,2,3,2,7500,0,3,3,3,3,3,3,2,1,5,5,2,10,1,19,1,22,4,3,4,6,9,6,6,6,6,1,0,0,1
12,13170,79,33,1,0,1,32000,59,59,0,1,1951,1951,6,6,0,1,4,5,5,0,101,1977,3,4,5,2,16000,1600,4,4,3,3,3,5,4,4,3,5,0,-8,0,-8,0,-8,5,5,5,12,13.5,6,4,4,12,3,1,1,1
12,13200,79,28,0,0,2,114400,53,52,0,1,1957,1958,9,9,0,0,5,5,5,0,101,1982,1,3,3,2,20000,3000,3,5,5,3,5,5,5,3,3,4,0,-8,0,-8,0,-8,5,5,5,9,10.5,7,7,7,9,1,0,0,1
12,13200,79,29,0,1,2,114400,58,52,0,1,1952,1958,7.5,0,0,0,5,5,5,0,101,1981,1,4,8,2,32000,4500,4,4,5,5,3,5,5,5,5,5,1,30,1,17,1,16,5,5,5,10.5,9,7,6,4,9,1,0,0,1
12,13200,79,21,0,1,2,38000,47,47,0,1,1963,1963,9,9,0,0,3,4,4,0,101,1989,1,3,3,1,12000,0,4,4,3,4,3,5,5,5,4,5,0,-8,1,17,0,-8,4,4,4,9,NA,7,7,7,9,1,0,0,1
12,13170,79,32,1,1,0,99000,65,64,0,1,1945,1946,12,9,0,0,5,5,5,1,101,1978,3,5,6,2,30000,2500,5,5,3,5,5,4,4,4,4,5,0,-8,1,20,1,20,5,5,5,15,15,6,6,6,15,3,1,1,1
12,13170,79,27,1,0,0,33000,48,51,0,1,1962,1959,12,12,0,0,3,4,4,1,101,1983,3,4,5,2,0,0,5,3,3,5,3,3,3,1,3,5,0,-8,1,23,0,-8,4,2,5,12,9,6,6,6,12,3,1,1,1
12,13190,79,33,1,0,2,17000,60,61,0,1,1950,1949,9,9,0,0,5,4,5,0,101,1977,1,5,6,2,7000,0,2,2,5,5,4,4,5,5,5,5,0,-8,0,-8,0,-8,4,4,5,15,9,6,6,6,15,1,0,0,1
12,13170,79,29,1,1,0,120000,55,50,0,1,1955,1960,16,16,0,0,5,5,5,1,101,1981,3,5,5,2,50000,3000,5,5,5,5,5,4,4,3,3,5,0,-8,1,20,1,20,5,5,5,15,13.5,6,6,6,15,3,1,1,1
12,13170,79,34,1,0,2,44500,62,63,0,1,1948,1947,0,0,0,0,4,1,2,0,101,1976,3,6,6,2,0,0,3,5,4,4,4,5,4,1,1,5,0,-8,0,-8,0,-8,4,1,5,13.5,15,6,6,6,16,3,1,1,1
12,13200,79,21,0,1,1,20500,45,47,0,1,1965,1963,12,9,0,0,4,4,5,0,101,1989,1,2,4,1,7000,0,5,5,5,5,4,5,4,1,5,5,0,-8,0,-8,0,-8,5,4,5,3,NA,7,7,6,9,1,0,0,1
12,13170,79,31,1,0,1,26000,58,58,0,1,1952,1952,9,9,0,0,5,5,5,0,101,1979,3,4,5,2,4680,0,4,5,4,5,5,5,5,5,5,5,0,-8,0,-8,0,-8,5,5,5,12,7.5,7,7,7,12,3,1,1,1
12,13170,79,28,1,1,0,71000,56,53,0,1,1954,1957,12,0,0,0,5,5,4,1,101,1982,3,4,6,2,20000,1650,5,5,5,5,2,5,5,1,5,5,1,10,1,20,0,-8,4,5,4,12,12,6,6,6,12,3,1,1,1
12,13170,79,20,1,0,0,91000,45,46,0,1,1965,1964,15,12,0,0,4,5,5,1,101,1990,3,4,7,1,-8,-8,-8,-8,-8,-8,4,5,5,4,4,4,0,-8,0,-8,0,-8,4,4,5,14,NA,7,7,7,15,3,1,1,1
12,13200,79,30,0,1,0,14600,56,55,0,1,1954,1955,0,0,0,0,5,5,3,1,101,1980,1,3,2,2,10000,2000,3,4,5,5,5,5,4,5,5,5,0,-8,1,17,0,-8,4,4,5,9,7.5,7,4,7,9,1,0,0,1
12,13180,79,31,1,0,1,1.00E+05,55,57,0,1,1955,1953,9,6,0,0,4,5,5,0,101,1979,1,3,5,2,0,0,4,4,4,5,4,4,5,4,5,5,0,-8,0,-8,0,-8,4,5,5,9,9,7,7,7,12,1,0,0,1
12,13170,79,24,1,1,0,40000,50,49,0,1,1960,1961,9,9,0,0,4,5,4,1,101,1986,3,5,5,1,25000,2000,4,4,3,4,4,5,5,1,4,4,2,120,1,18,0,-8,4,4,5,15,NA,6,6,6,15,3,1,1,1
12,13170,79,24,1,0,1,44023.65023,55,55,0,1,1955,1955,6,6,0,1,4,5,5,0,101,1986,1,4,4,2,0,0,4,5,4,4,4,5,5,4,5,5,1,60,0,-8,0,-8,5,5,5,12,9,7,7,7,12,1,0,0,1
12,13170,79,24,1,1,0,44023.65023,48,47,0,1,1962,1963,9,12,0,0,5,5,5,1,101,1986,1,3,4,2,20000,2000,5,5,5,5,5,5,5,3,4,5,0,-8,0,-8,0,-8,5,5,5,9,12,6,6,6,9,1,0,0,1
13,11880,46,23,0,1,1,43000,49,52,0,1,1961,1958,12,9,0,0,5,5,5,0,69,1987,3,2,3,2,10000,1500,4,4,5,4,4,5,1,1,1,5,0,-8,1,22,1,18,5,5,5,6,9,7,7,7,6,1,0,1,1
13,11880,46,27,0,1,1,43000,49,52,0,1,1961,1958,12,9,0,0,3,5,5,0,69,1983,1,6,6,2,72000,6000,4,4,4,4,3,5,5,1,1,1,2,60,0,-8,0,-8,5,5,5,16,15,7,7,7,16,1,0,0,1
13,11880,46,23,0,1,2,28200,62,60,0,1,1948,1950,3,0,0,0,5,5,5,0,69,1987,1,3,4,2,3500,0,5,5,5,5,3,5,5,5,5,5,0,-8,0,-8,0,-8,5,5,5,9,12,5,6,6,9,1,0,0,1
13,12010,50,26,1,0,2,8300,53,47,0,1,1957,1963,0,6,0,0,3,4,2,0,69,1984,1,2,4,2,0,1200,3,3,1,4,2,5,3,5,5,4,3,30,0,-8,0,-8,3,4,2,3,3,6,6,6,6,1,0,0,1
13,11890,47,23,1,1,1,20000,48,46,0,1,1962,1964,12,0,0,0,5,5,5,0,69,1987,1,2,4,2,3000,0,4,5,5,3,4,4,5,4,5,4,0,-8,1,22,0,-8,4,4,5,6,6,6,5,6,6,1,0,0,1
13,11880,46,24,0,1,2,28200,62,60,0,1,1948,1950,3,0,0,0,4,5,5,0,69,1986,1,1,-8,1,2500,0,4,4,4,4,4,4,4,5,5,5,0,-8,0,-8,0,-8,5,5,5,0,NA,5,5,6,6,1,0,0,1
13,12100,52,21,0,1,1,39100,43,45,0,1,1967,1965,6,6,0,0,5,4,5,0,69,1989,1,2,3,1,7500,1800,3,3,5,4,3,5,5,5,5,5,2,2,1,14,1,15,4,5,5,6,NA,7,5,6,6,1,0,0,1
13,11880,46,24,0,0,1,24400,62,51,0,1,1948,1959,6,0,0,0,4,5,4,0,69,1986,1,3,4,2,0,0,5,5,4,4,1,5,5,5,4,5,2,30,0,-8,0,-8,5,5,5,9,12,6,6,6,9,1,0,0,1
13,11880,46,32,0,0,2,28200,62,60,0,1,1948,1950,3,0,0,1,4,4,5,0,69,1978,1,6,8,2,-8,-8,-8,-8,-8,-8,3,5,5,2,1,4,0,-8,0,-8,0,-8,4,4,5,17.5,19,7,6,6,16,1,0,0,1
13,11850,46,27,1,1,1,24000,52,53,0,1,1958,1957,6,6,0,0,5,4,5,0,69,1983,3,2,6,1,10000,0,4,3,5,5,3,5,5,4,5,5,0,-8,1,15,1,15,4,4,5,6,NA,7,6,6,6,1,0,1,1
13,11880,46,24,0,1,2,3000,51,42,0,1,1959,1968,7.5,0,0,0,3,5,5,0,69,1986,1,3,3,2,18000,1800,4,4,2,5,4,5,5,1,1,5,0,-8,0,-8,0,-8,4,4,5,7.5,9,6,6,7,6,1,0,0,1
13,11850,46,29,1,1,2,29000,52,52,0,1,1958,1958,12,6,0,0,4,4,5,0,69,1981,1,3,3,2,17000,1300,3,3,3,4,1,3,3,1,3,4,2,30,1,19,1,14,4,4,4,9,9,6,6,6,9,1,0,0,1
